monthEnd,monthEndIso,type,trkPct,busPct,avgFleet,currentFleet,score,scoreText,convPctText,inspPctText,collPctText,stage
2018 NOV,2018-11-01,TRK,100%,0%,7,10,0.046,0.046,0.0%,100.0%,0.0%,
2018 OCT,2018-10-01,TRK,100%,0%,6,10,0.018,0.018,0.0%,100.0%,0.0%,
2018 SEP,2018-09-01,TRK,100%,0%,5,8,0.022,0.022,0.0%,100.0%,0.0%,
2018 AUG,2018-08-01,TRK,100%,0%,5,8,0.027,0.027,0.0%,100.0%,0.0%,
2018 JUL,2018-07-01,TRK,100%,0%,4,7,0.0,0.000,0.0%,0.0%,0.0%,
2018 JUN,2018-06-01,TRK,100%,0%,3,5,0.0,0.000,0.0%,0.0%,0.0%,
2018 MAY,2018-05-01,TRK,100%,0%,3,4,,No Data,,,,
2018 APR,2018-04-01,TRK,100%,0%,2,2,,No Data,,,,
2018 MAR,2018-03-01,TRK,100%,0%,1,1,,No Data,,,,
2018 FEB,2018-02-01,TRK,,,0,0,,No Data,,,,
2018 JAN,2018-01-01,TRK,,,0,0,,No Data,,,,
2017 DEC,2017-12-01,TRK,,,0,0,,No Data,,,,
2017 NOV,2017-11-01,TRK,,,0,0,,No Data,,,,
2017 OCT,2017-10-01,TRK,,,0,0,,No Data,,,,
2017 SEP,2017-09-01,TRK,,,0,0,,No Data,,,,
2017 AUG,2017-08-01,TRK,,,0,0,,No Data,,,,
2017 JUL,2017-07-01,TRK,,,0,0,,No Data,,,,
2017 JUN,2017-06-01,TRK,,,0,0,,No Data,,,,
2017 MAY,2017-05-01,TRK,,,0,0,,No Data,,,,
2017 APR,2017-04-01,TRK,,,0,0,,No Data,,,,
2017 MAR,2017-03-01,TRK,,,0,0,,No Data,,,,
2017 FEB,2017-02-01,TRK,,,0,0,,No Data,,,,
2017 JAN,2017-01-01,TRK,,,0,0,,No Data,,,,
2016 DEC,2016-12-01,TRK,,,0,0,,No Data,,,,
