seq,date,dateIso,document,jurisdiction,agency,plate,plateJur,level,result
1,2019 SEP 12,2019-09-12,OPI 8776286,BC,,U11096,AB,2,Out of Service
2,2019 AUG 22,2019-08-22,OPI ONEA01338404,ON,,E75062,AB,2,Passed
3,2019 AUG 21,2019-08-21,CVR AB194748EI,AB,GADU,U11096,AB,2,Out of Service
4,2019 AUG 20,2019-08-20,OPI 8756916,BC,,E75062,AB,1,Requires Attention
5,2019 AUG 16,2019-08-16,OPI ONEA01338072,ON,,U11099,AB,2,Passed
6,2019 JUL 08,2019-07-08,OPI 8724716,BC,,M1767S,ON,1,Requires Attention
7,2019 JUN 20,2019-06-20,OPI MBE19-9500-03323,MB,,U11095,AB,2,Requires Attention
8,2019 JUN 18,2019-06-18,OPI MBE19-1400-02436,MB,,E65208,AB,3,Out of Service
9,2019 JUN 05,2019-06-05,OPI 8702696,BC,,U23906,AB,1,Requires Attention
10,2019 MAY 02,2019-05-02,OPI ONEA01307275,ON,,E59949,AB,2,Out of Service
11,2019 FEB 20,2019-02-20,OPI ONEA01291043,ON,,E65166,AB,2,Out of Service
12,2019 FEB 20,2019-02-20,OPI 8658251,BC,,E77384,AB,1,Requires Attention
13,2019 FEB 05,2019-02-05,OPI 8654027,BC,,U00291,AB,2,Out of Service
14,2019 JAN 30,2019-01-30,OPI ONEA01275999,ON,,E59949,AB,3,Passed
15,2018 DEC 13,2018-12-13,OPI ONEA01272231,ON,,E75062,AB,3,Passed
16,2018 DEC 12,2018-12-12,OPI ONEA01273068,ON,,U04031,AB,2,Out of Service
17,2018 NOV 27,2018-11-27,OPI ONEA01263997,ON,,U04031,AB,2,Out of Service
18,2018 NOV 10,2018-11-10,OPI 8628393,BC,,N3759S,ON,2,Out of Service
19,2018 OCT 17,2018-10-17,OPI ONEA01251954,ON,,E77384,AB,2,Passed
20,2018 SEP 25,2018-09-25,OPI ONEA01249644,ON,,E80652,AB,2,Passed
21,2018 AUG 16,2018-08-16,OPI ONEA01237362,ON,,E75062,AB,2,Passed
22,2018 AUG 16,2018-08-16,OPI 8605275,BC,,E80652,AB,1,Out of Service
23,2018 JUN 13,2018-06-13,OPI ONEA01215795,ON,,E65114,AB,2,Passed
24,2018 JUN 05,2018-06-05,OPI ONEA01219694,ON,,E65208,AB,1,Requires Attention
25,2018 JUN 01,2018-06-01,OPI ONEA01211359,ON,,E65114,AB,2,Requires Attention
