monthEnd,monthEndIso,avgFleet,convPtsPerVeh,totalInspections,oosDefPerInsp,totalDefPerInsp,oosPctText,oosPerVeh,failureRate,collPtsPerVeh
2018 NOV,2018-11-01,7,,7,0.1,0.5,14%,0.14,0.214,
2018 OCT,2018-10-01,6,,6,0.0,0.5,0%,,0.083,
2018 SEP,2018-09-01,5,,5,0.0,0.6,0%,,0.1,
2018 AUG,2018-08-01,5,,4,0.0,0.7,0%,,0.125,
2018 JUL,2018-07-01,4,,3,0.0,1.0,0%,,0.0,
2018 JUN,2018-06-01,3,,3,0.0,1.0,0%,,0.0,
2018 MAY,2018-05-01,3,,,,,,,,
2018 APR,2018-04-01,2,,,,,,,,
2018 MAR,2018-03-01,1,,,,,,,,
2018 FEB,2018-02-01,0,,,,,,,,
2018 JAN,2018-01-01,0,,,,,,,,
2017 DEC,2017-12-01,0,,,,,,,,
2017 NOV,2017-11-01,0,,,,,,,,
2017 OCT,2017-10-01,0,,,,,,,,
2017 SEP,2017-09-01,0,,,,,,,,
2017 AUG,2017-08-01,0,,,,,,,,
2017 JUL,2017-07-01,0,,,,,,,,
2017 JUN,2017-06-01,0,,,,,,,,
2017 MAY,2017-05-01,0,,,,,,,,
2017 APR,2017-04-01,0,,,,,,,,
2017 MAR,2017-03-01,0,,,,,,,,
2017 FEB,2017-02-01,0,,,,,,,,
2017 JAN,2017-01-01,0,,,,,,,,
2016 DEC,2016-12-01,0,,,,,,,,
