inspectionDate,inspectionDoc,kind,plate,plateJur,regi,desc,result,defect
2023-03-16,0019851,Power Unit,58857P,BC,13155227,VOLVO 2020,Pass,
2023-03-16,0019851,Semi-Trailer,V8881L,ON,,,Pass,
2023-03-08,0416901,Power Unit,74785P,BC,13379227,VOLVO,Pass,
2023-03-08,0416901,Semi-Trailer,W7693V,ON,,MANA,Pass,
2023-03-06,6648881,Power Unit,77489P,BC,14239431,VOLV,Pass,
2023-03-06,6648881,Semi-Trailer,V6032Z,ON,,STOU,Pass,
2023-02-23,6646725,Power Unit,74752P,BC,14124468,FRTH,Pass,
2023-02-23,6646725,Semi-Trailer,V6373B,ON,,MANA,OOS,41
2023-02-21,9035309,Power Unit,72842P,BC,14037117,VOLVO,Fail,40
2023-02-21,9035309,Trailer 1,X8520H,ON,,UTIL,Pass,
2023-02-04,6638588,Power Unit,69602P,BC,13925304,VOLV,Pass,
2023-02-04,6638588,Semi-Trailer,V8867L,ON,,MANA,Pass,
2023-01-07,6643801,Power Unit,76118P,BC,14199432,INTL,Pass,
2023-01-07,6643801,Semi-Trailer,V4156Y,ON,,MANA,Pass,
2023-01-04,2052337,Power Unit,66657P,BC,13810162,VOLVO N/A,Fail,40
2023-01-04,2052337,Semi-Trailer,P1060D,ON,,MANA N/A,Pass,
2022-12-30,6645144,Power Unit,69602P,BC,13925304,VOLV,Pass,
2022-12-30,6645144,Semi-Trailer,V6370B,ON,,MANA,Pass,
2022-12-27,0289312,Power Unit,76118P,BC,14199432,555 3193,Pass,
2022-12-27,0289312,Semi-Trailer,T2134W,ON,,701 4248,Pass,
2022-12-23,6642675,Power Unit,56267P,BC,13280659,VOLV,Pass,
2022-12-23,6642675,Semi-Trailer,S4826K,ON,,MANA,OOS,46
2022-12-09,0289040,Power Unit,72075P,BC,13339308,,Pass,
2022-12-09,0289040,Semi-Trailer,W8795E,ON,,,Pass,
