regi,plate,year,make,owner,gvw
10988354,58226P,2015,VOLVO,BENNINGTON FINANCIAL CORP.,47000
11081163,,2015,VOLVO,,
11848566,,2016,VOLVO,,
12584392,79997P,2018,FREIGHTLIN,INERTIA CARRIER LTD.,47000
12593082,58284P,2019,VOLVO,TPINE LEASING CAPITAL CORPO,47000
12793166,60145P,2018,VOLVO,VFS CANADA INC.,47000
12875630,49434P,2013,FREIGHTLIN,MITSUBISHI HC CAPITAL CANAD,47000
12995683,46314P,2018,FREIGHTLIN,TPINE LEASING CAPITAL CORPO,47000
13147505,,2014,VOLVO,,
13155227,58857P,2020,VOLVO,MERCADO CAPITAL CORPORATION,47000
13155243,60938P,2020,VOLVO,MERCADO CAPITAL CORPORATION,47000
13280659,56267P,2021,VOLVO,VFS CANADA INC.,47000
13283319,,2019,MACK,,
13322982,57382P,2021,VOLVO,VFS CANADA INC.,47000
13322983,57381P,2021,VOLVO,VFS CANADA INC.,47000
13322984,57380P,2021,VOLVO,VFS CANADA INC.,47000
13339308,72075P,2020,FREIGHTLIN,ARUNDEL CAPITAL CORPORATION,47000
13365870,58006P,2006,PETERBILT,INERTIA CARRIER LTD.,47000
13379226,66581P,2021,VOLVO,CANADIAN WESTERN BANK LEASI,47000
13379227,74785P,2021,VOLVO,CWB NATIONAL LEASING INC.,47000
13379228,74162P,2021,VOLVO,CWB NATIONAL LEASING INC.,47000
13384125,58770P,2016,VOLVO,VFS CANADA INC.,47000
13399973,70362P,2016,VOLVO,INERTIA CARRIER LTD.,47000
