month,vd,ad,avg,contra,cvsa,acc,total
2025-03,28308,365,77.56,0.3,0.31,0,0.61
2025-02,28186,365,77.22,0.3,0.31,0.05,0.66
2025-01,28080,366,76.72,0.2,0.23,0.05,0.48
2024-12,27815,366,76,0.17,0.24,0.05,0.46
2024-11,27517,366,75.18,0.17,0.28,0.05,0.5
2024-10,27229,366,74.4,0.16,0.32,0.05,0.53
2024-09,26943,366,73.61,0.22,0.29,0.05,0.56
2024-08,26644,366,72.8,0.34,0.29,0.05,0.68
2024-07,26170,366,71.5,0.39,0.29,0.06,0.74
2024-06,25647,366,70.07,0.37,0.26,0.06,0.69
2024-05,25139,366,68.69,0.39,0.39,0.06,0.84
2024-04,24638,366,67.32,0.45,0.45,0.06,0.96
2024-03,24330,366,66.48,0.45,0.41,0.12,0.98
2024-02,24249,366,66.25,0.63,0.36,0.09,1.08
